Rank,Team,Score,Penalty
1,Mersault09,7,253
2,SushiTrash,7,276
3,sebastianpn,7,343
4,IamJM_23,7,345
5,BeymarVe,7,394
6,PedroRaul25,6,235
7,TheRealOneAle,5,137
