Rank,Team,Score,Penalty
1,TheRealOneAle,7,167
2,SushiTrash,7,202
3,sebastianpn,7,212
4,Gabriel_Torres01,7,244
5,Mersault09,7,262
6,Prepotente,7,269
7,IamJM_23,7,270
8,PedroRaul25,6,233
